State,Action,Q-value
"(5, 18)",down,-5.544499165949
"(5, 18)",left,-5.577215729828077
"(5, 18)",right,-5.462093505283727
"(5, 19)",up,-5.561888003271496
"(5, 19)",down,-5.558300666055567
"(5, 19)",left,-5.549162415947658
"(5, 19)",right,-5.541391878197178
"(6, 0)",up,-7.828999574518182
"(6, 0)",down,-7.833730399265952
"(6, 0)",left,-7.851755866967859
"(6, 0)",right,-7.826851465834519
"(6, 1)",up,-7.79138103826957
"(6, 1)",down,-7.793188121214513
"(6, 1)",left,-7.779471788598462
"(6, 1)",right,-7.787867447403239
"(6, 2)",up,-7.73053141007905
"(6, 2)",down,-7.740103998775801
"(6, 2)",left,-7.733545158165046
"(6, 2)",right,-7.72150549779364
"(6, 3)",up,-7.653656291689058
"(6, 3)",down,-7.655525738681531
"(6, 3)",left,-7.690114426878998
"(6, 3)",right,-7.647881299873224
"(6, 4)",up,-7.554290518690221
"(6, 4)",down,-7.553559816542987
"(6, 4)",left,-7.5756670434100295
"(6, 4)",right,-7.560904023818417
"(6, 5)",up,-7.419964028356383
"(6, 5)",down,-7.4351767506377255
"(6, 5)",left,-8.003794671177392
"(6, 5)",right,-7.428695353467605
"(6, 6)",up,-7.316660906139103
"(6, 6)",down,-7.348752450247391
"(6, 6)",left,-7.323245865789685
"(6, 6)",right,-7.328436769739017
"(6, 7)",up,-7.231381218847889
"(6, 7)",down,-7.220604521469804
"(6, 7)",left,-7.227295140622027
"(6, 7)",right,-7.227459120284938
"(6, 8)",up,-7.114129272503556
"(6, 8)",down,-7.123976741077292
"(6, 8)",left,-7.11487346463048
"(6, 8)",right,-7.127778851122722
"(6, 9)",up,-6.993025679536975
"(6, 9)",down,-6.9816718214730304
"(6, 9)",left,-7.01307491304469
"(6, 9)",right,-6.99916478326689
"(6, 10)",up,-6.811364810920253
"(6, 10)",down,-6.820287957448699
"(6, 10)",left,-7.996563310761515
"(6, 10)",right,-6.826953030758062
"(6, 11)",up,-6.662602527156715
"(6, 11)",down,-6.686602841401734
"(6, 11)",left,-6.64661015090974
"(6, 11)",right,-6.654192830482045
"(6, 12)",up,-6.512982696442397
"(6, 12)",down,-6.526697940706611
"(6, 12)",left,-6.505105448893501
"(6, 12)",right,-6.51166384077726
"(6, 13)",up,-6.345996680714915
"(6, 13)",down,-6.355822844956246
"(6, 13)",left,-6.327704942429408
"(6, 13)",right,-6.345757073325962
"(6, 14)",up,-6.143572693768026
"(6, 14)",down,-6.159523857500243
"(6, 14)",left,-6.1678243125194046
"(6, 14)",right,-6.142639907928463
"(6, 15)",up,-5.87705489260522
"(6, 15)",down,-5.876789977581394
"(6, 15)",left,-6.257858723221821
"(6, 15)",right,-5.8953702416555425
"(6, 16)",up,-5.657579163040447
"(6, 16)",down,-5.679850064741329
"(6, 16)",left,-5.715949965286657
"(6, 16)",right,-5.672007588534755
"(6, 17)",up,-5.395580642336709
"(6, 17)",down,-5.426642941848797
"(6, 17)",left,-5.460066699450043
"(6, 17)",right,-5.393408572315693
"(6, 18)",up,-5.093605859031994
"(6, 18)",down,-5.184683053135431
"(6, 18)",left,-5.162594082441713
"(6, 18)",right,-4.931151817812133
"(6, 19)",up,-5.22168072614339
"(6, 19)",down,-5.210083666032242
"(6, 19)",left,-5.206762266467506
"(6, 19)",right,-5.210265341459572
"(7, 0)",up,-7.703769574174468
"(7, 0)",down,-7.698961456942331
"(7, 0)",left,-7.712967481042471
"(7, 0)",right,-7.688745233250317
"(7, 1)",up,-7.663135648872822
"(7, 1)",down,-7.678816641430735
"(7, 1)",left,-7.665796188692732
"(7, 1)",right,-7.6666677147128945
"(7, 2)",up,-7.605878038012668
"(7, 2)",down,-7.622335782496489
"(7, 2)",left,-7.608235402001905
"(7, 2)",right,-7.598955192510096
"(7, 3)",up,-7.5293015354429205
"(7, 3)",down,-7.5447132589456345
"(7, 3)",left,-7.525712337159797
"(7, 3)",right,-7.519036101387201
"(7, 4)",up,-7.437925021618522
"(7, 4)",down,-7.431240500609959
"(7, 4)",left,-7.43679542208791
"(7, 4)",right,-7.439692992638571
"(7, 5)",up,-7.319176815721616
"(7, 5)",down,-7.315901581854187
"(7, 5)",left,-7.3381730225823585
"(7, 5)",right,-7.344311275744824
"(7, 6)",up,-7.227959428110904
"(7, 6)",down,-7.247238137771992
"(7, 6)",left,-7.229879864909378
"(7, 6)",right,-7.213060033089521
"(7, 7)",up,-7.112864490646846
"(7, 7)",down,-7.131268635272758
"(7, 7)",left,-7.136087235760227
"(7, 7)",right,-7.106062618776605
"(7, 8)",up,-6.994802259376119
"(7, 8)",down,-7.004894875140831
